m_S,kappa,lambda_S,C,Delta,gamma,Psi,alpha_s,Pi_S,kinetic_VEV
1.7022151153500429,0.4811855152887499,0.4169355078348343,0.2839085724251528,1.7819142521920077,17.129992220522233,856.99850975657,0.49811855152887496,0.27768210323884235,0.01082079754174209
1.6884049753899097,0.49462250270309305,0.42020573079193047,0.2594649070052733,1.7970506213148107,15.829607016553778,1218.2549523546236,0.4994622502703093,0.3786795746465459,0.012887846517970002
1.68705690063879,0.47768918772246016,0.4166908205318109,0.2905484649566264,1.7556890568368024,16.304480187779497,1089.058855273503,0.497768918772246,0.23628307830354034,0.011595281316299319
1.717187887335913,0.4854670433483501,0.4234026122207512,0.27872779783550855,1.7822959453336737,16.063208054826152,1378.4955739228158,0.498546704334835,0.2278445963396778,0.012311049264346128
1.7253436004285625,0.4827305556200886,0.4221198677967698,0.2628272352125351,1.7742364832752833,15.880717243397186,1529.888612150429,0.49827305556200885,0.17110455904524935,0.012481959935193793
1.7039198481762952,0.4954281289177695,0.42175462839674244,0.2805655016307704,1.761766065828493,16.25499144453696,1363.8230837538604,0.49954281289177693,0.20047682169567738,0.011746892399621572
1.7200529934683804,0.4877665854835138,0.41915847350042484,0.27594119535210665,1.7706575361954153,15.736976262091416,1378.2535043897383,0.4987766585483514,0.17664581014608238,0.01265979184360835
1.7104245403757146,0.4828260904164239,0.42040731930568914,0.27158803202061677,1.7798446645260364,16.095001263382414,1148.309786430775,0.4982826090416424,0.24229492152232446,0.012228752964885434
1.6953232036809232,0.47852301653918144,0.4232862669946961,0.2825088955440882,1.7806891537727085,16.080136138531653,1169.4891343362021,0.49785230165391814,0.29673309742481635,0.012263001581322382
1.7104209340826262,0.5020564028231571,0.43344987918306566,0.2735798759657593,1.779176859125634,16.141865946531276,1145.1717627836902,0.5002056402823157,0.2399305243000729,0.012148726917312214
1.7280705484969896,0.4846097599881651,0.4241539900480076,0.28855902265761557,1.7875896904587563,15.684500210273605,1277.327988700084,0.4984609759988165,0.20924908085174554,0.012989556217390145
